"time", "liberal percentage", "conservative percentage", "liberal positive", "liberal negative", "conservative positive", "conservative negative"
"01:22:06", "95.682103", "4.317897", "132855.000000", "-5062.000000", "966.000000", "-722.000000"
"01:22:37", "91.331377", "8.668623", "136497.000000", "-5062.000000", "7962.000000", "-722.000000"
"01:23:10", "87.659042", "12.340958", "122635.000000", "-9303.000000", "7962.000000", "0.000000"
"01:23:40", "96.318875", "3.681125", "123240.000000", "-4265.000000", "445.000000", "0.000000"
"01:24:10", "100.000000", "0.000000", "98362.000000", "0.000000", "0.000000", "0.000000"
"01:24:40", "100.000000", "0.000000", "100170.000000", "-0.000000", "0.000000", "0.000000"
"01:25:10", "18.967171", "81.032829", "7118.000000", "-25394.000000", "5016.000000", "0.000000"
"01:25:40", "26.155009", "73.844991", "10377.000000", "-24282.000000", "5016.000000", "0.000000"
"01:26:10", "99.856100", "0.143900", "9715.000000", "0.000000", "14.000000", "0.000000"
"01:26:41", "96.117773", "3.882227", "16192.000000", "0.000000", "654.000000", "0.000000"
"01:27:12", "96.260372", "3.739628", "16474.000000", "0.000000", "640.000000", "0.000000"
"01:27:42", "69.501285", "30.498715", "27036.000000", "-11864.000000", "0.000000", "0.000000"
"01:28:12", "24.841408", "75.158592", "10573.000000", "-22978.000000", "9011.000000", "0.000000"
"01:28:42", "42.711189", "57.288811", "14545.000000", "-11114.000000", "9577.000000", "-881.000000"
"01:29:14", "43.744401", "56.255599", "18650.000000", "-23608.000000", "1509.000000", "-881.000000"
"01:29:44", "41.547582", "58.452418", "25780.000000", "-38065.000000", "8279.000000", "-7161.000000"
"01:30:16", "37.669600", "62.330400", "15209.000000", "-25571.000000", "9986.000000", "-6280.000000"
"01:30:46", "28.741712", "71.258288", "19290.000000", "-25571.000000", "22254.000000", "0.000000"
"01:31:17", "49.028373", "50.971627", "18645.000000", "0.000000", "19384.000000", "0.000000"
"01:31:47", "69.733448", "30.266552", "12427.000000", "0.000000", "6336.000000", "-2171.000000"
"01:32:17", "91.333049", "8.666951", "6407.000000", "0.000000", "814.000000", "-2171.000000"
"01:32:47", "3.600258", "96.399742", "19749.000000", "-525769.000000", "3026.000000", "0.000000"
"01:33:18", "25.980287", "74.019713", "88206.000000", "-526106.000000", "3018.000000", "-97512.000000"
"01:33:48", "28.115284", "71.884716", "109218.000000", "-526352.000000", "2212.000000", "-97512.000000"
"01:34:18", "98.936877", "1.063123", "90009.000000", "-667.000000", "1348.000000", "-97512.000000"
"01:34:48", "89.784765", "10.215235", "21358.000000", "-1082.000000", "1348.000000", "0.000000"
"01:35:18", "5.250305", "94.749695", "258.000000", "-2643.000000", "2013.000000", "0.000000"
"01:35:52", "1.266916", "98.733084", "88.000000", "-2957.000000", "3901.000000", "0.000000"
"01:36:22", "86.467604", "13.532396", "19431.000000", "-1150.000000", "1891.000000", "0.000000"
"01:36:52", "89.237488", "10.762512", "19873.000000", "-2054.000000", "361.000000", "-151.000000"
"01:37:22", "84.241436", "15.758564", "12592.000000", "-2054.000000", "361.000000", "-318.000000"
"01:37:52", "94.750158", "5.249842", "18908.000000", "-1114.000000", "629.000000", "-12550.000000"
"01:38:22", "90.549361", "9.450639", "9951.000000", "-61.000000", "2270.000000", "-12383.000000"
"01:38:52", "86.454306", "13.545694", "11182.000000", "0.000000", "1752.000000", "0.000000"
"01:39:22", "1.230989", "98.769011", "1686.000000", "-135031.000000", "246.000000", "0.000000"
"01:39:53", "11.982974", "88.017026", "18524.000000", "-135927.000000", "135.000000", "0.000000"
"01:40:23", "94.008939", "5.991061", "18593.000000", "-1259.000000", "135.000000", "-3281.000000"
"01:40:53", "97.530342", "2.469658", "29545.000000", "-993.000000", "0.000000", "-9670.000000"
"01:41:23", "99.283736", "0.716264", "44677.000000", "-120.000000", "273.000000", "-9798.000000"
"01:41:53", "50.394516", "49.605484", "50558.000000", "-120.000000", "59291.000000", "-9798.000000"
"01:42:24", "43.136417", "56.863583", "71220.000000", "-120.000000", "102355.000000", "-6517.000000"
"01:42:54", "19.031632", "80.968368", "29535.000000", "-23373.000000", "102281.000000", "0.000000"
"01:43:24", "99.312730", "0.687270", "9861124.000000", "-25178.000000", "43064.000000", "-72.000000"
"01:43:54", "99.727669", "0.272331", "9834967.000000", "-26857.000000", "0.000000", "-72.000000"
"01:44:24", "78.425282", "21.574718", "224461.000000", "-2460.000000", "59289.000000", "0.000000"
"01:44:54", "78.404467", "21.595533", "224668.000000", "-2593.000000", "59289.000000", "0.000000"
"01:45:24", "28.911875", "71.088125", "24373.000000", "-516.000000", "59412.000000", "0.000000"
"01:45:55", "99.408605", "0.591395", "224489.000000", "-523.000000", "817.000000", "-754.000000"
"01:46:25", "84.604735", "15.395265", "250067.000000", "-600.000000", "97482.000000", "-288943.000000"
"01:46:55", "95.390757", "4.609243", "28588.000000", "-15217.000000", "0.000000", "-286336.000000"
"01:47:25", "13.397240", "86.602760", "2320.000000", "-14997.000000", "0.000000", "0.000000"
"01:47:55", "70.226877", "29.773123", "28813.000000", "-10786.000000", "113161.000000", "-263545.000000"
"01:48:25", "71.929686", "28.070314", "54067.000000", "-10786.000000", "113161.000000", "-263545.000000"
"01:48:55", "98.707344", "1.292656", "25657.000000", "-0.000000", "336.000000", "0.000000"
"01:49:25", "95.818442", "4.181558", "26810.000000", "-834.000000", "336.000000", "0.000000"
"01:49:55", "7.861616", "92.138384", "30332.000000", "-834.000000", "354658.000000", "0.000000"
"01:50:25", "4.382148", "95.617852", "17514.000000", "-27495.000000", "354658.000000", "0.000000"
"01:50:55", "9.557113", "90.442887", "17176.000000", "-28187.000000", "147558.000000", "-1395.000000"
"01:51:25", "88.800974", "11.199026", "14654.000000", "-1531.000000", "493.000000", "-1395.000000"
"01:51:55", "0.217691", "99.782309", "1972.000000", "-903722.000000", "176.000000", "0.000000"
"01:52:25", "2.102202", "97.897798", "19465.000000", "-906293.000000", "176.000000", "0.000000"
"01:52:56", "2.075167", "97.924833", "19229.000000", "-907219.000000", "176.000000", "0.000000"
"01:53:26", "15.222495", "84.777505", "2848.000000", "-16251.000000", "0.000000", "-70.000000"
"01:53:56", "12.571828", "87.428172", "2115.000000", "-14349.000000", "1931.000000", "-226.000000"
"01:54:26", "6.281541", "93.718459", "832.000000", "-13854.000000", "1931.000000", "-226.000000"
"01:54:58", "0.879828", "99.120172", "41.000000", "-4619.000000", "0.000000", "0.000000"
"01:55:28", "69.553882", "30.446118", "9279.000000", "-4188.000000", "16.000000", "-325.000000"
"01:55:58", "99.569096", "0.430904", "913715.000000", "-4352.000000", "16.000000", "-95599.000000"
"01:56:28", "99.966763", "0.033237", "915001.000000", "-320.000000", "16.000000", "-95599.000000"
"01:56:58", "99.968341", "0.031659", "940441.000000", "-320.000000", "8.000000", "-95274.000000"
"01:57:28", "43.707643", "56.292357", "43726.000000", "-56308.000000", "8.000000", "0.000000"
"01:57:58", "49.183375", "50.816625", "53247.000000", "-56308.000000", "8.000000", "-1259.000000"
"01:58:29", "47.980008", "52.019992", "50676.000000", "-56308.000000", "0.000000", "-1259.000000"
"01:58:59", "71.150407", "28.849593", "2322.000000", "-1452.000000", "0.000000", "-1259.000000"
"01:59:29", "89.411507", "10.588493", "12162.000000", "-1452.000000", "0.000000", "-99.000000"
"02:00:00", "98.805707", "1.194293", "146915.000000", "-1452.000000", "325.000000", "-99.000000"
"02:00:30", "99.717817", "0.282183", "137818.000000", "-65.000000", "325.000000", "0.000000"
"02:01:00", "96.247475", "3.752525", "9054.000000", "-353.000000", "0.000000", "0.000000"
"02:01:32", "97.318690", "2.681310", "39344.000000", "-1084.000000", "0.000000", "0.000000"
"02:02:03", "98.416184", "1.583816", "67669.000000", "-893.000000", "196.000000", "0.000000"
"02:02:33", "99.902969", "0.097031", "391933.000000", "-185.000000", "196.000000", "-345.000000"
"02:03:03", "99.715562", "0.284438", "389490.000000", "-1112.000000", "0.000000", "-345.000000"
"02:03:34", "81.681730", "18.318270", "4718.000000", "-1024.000000", "111.000000", "-343.000000"
"02:04:04", "8.604664", "91.395336", "1073.000000", "0.000000", "16814.000000", "-510.000000"
"02:04:34", "28.583034", "71.416966", "6175.000000", "0.000000", "16703.000000", "-510.000000"
"02:05:04", "79.690608", "20.309392", "6702.000000", "-1356.000000", "482.000000", "-510.000000"
"02:05:34", "78.572551", "21.427449", "9996.000000", "-1356.000000", "1370.000000", "0.000000"
"02:06:04", "78.790235", "21.209765", "5067.000000", "0.000000", "1364.000000", "0.000000"
"02:06:34", "97.419130", "2.580870", "33336.000000", "0.000000", "888.000000", "-183.000000"
"02:07:04", "58.082780", "41.917220", "79833.000000", "0.000000", "57746.000000", "-183.000000"
"02:07:38", "56.714073", "43.285927", "77962.000000", "-1757.000000", "57746.000000", "0.000000"
"02:08:08", "35.880508", "64.119492", "50110.000000", "-31802.000000", "57746.000000", "0.000000"
"02:08:38", "4.667150", "95.332850", "1867.000000", "-33608.000000", "4528.000000", "0.000000"
"02:09:09", "6.968597", "93.031403", "2725.000000", "-31851.000000", "4528.000000", "0.000000"
"02:09:39", "58.581404", "41.418596", "3188.000000", "-2254.000000", "0.000000", "0.000000"
"02:10:10", "93.849533", "6.150467", "6836.000000", "-448.000000", "0.000000", "0.000000"
"02:10:40", "93.762183", "6.237817", "6734.000000", "-448.000000", "0.000000", "0.000000"
"02:11:10", "77.814753", "22.185247", "1403.000000", "-271.000000", "129.000000", "0.000000"
"02:11:41", "2.323830", "97.676170", "216.000000", "-5871.000000", "3208.000000", "0.000000"
"02:12:11", "4.970984", "95.029016", "454.000000", "-5600.000000", "3079.000000", "0.000000"
"02:12:41", "27.713335", "72.286665", "5265.000000", "-14333.000000", "0.000000", "-230.000000"
"02:13:11", "41.225348", "58.774652", "5213.000000", "-17047.000000", "0.000000", "-6744.000000"
"02:13:41", "49.412838", "50.587162", "1377.000000", "-8314.000000", "0.000000", "-6744.000000"
"02:14:11", "99.164895", "0.835105", "17.000000", "-55.000000", "0.000000", "-6514.000000"
"02:14:41", "55.592105", "44.407895", "169.000000", "-135.000000", "0.000000", "0.000000"
"02:15:11", "36.923077", "63.076923", "192.000000", "-191.000000", "137.000000", "0.000000"
"02:15:41", "10.627685", "89.372315", "767.000000", "-56.000000", "6394.000000", "0.000000"
